plastic_type,microorganism,degradation_rate,days,temperature,pH
Polystyrene,Acidithiobacillus ferrooxidans,49,325,39,8
Nylon,Sulfolobus acidocaldarius,76,67,40,6
Polyethylene Terephthalate (PET),Ochrobactrum sp.,59,249,17,5
Polyurethane,Streptomyces coelicolor,95,175,33,6
Polystyrene,Acidithiobacillus ferrooxidans,14,339,13,5
Polyethylene,Streptomyces coelicolor,35,2,40,6
Polyurethane,Ideonella sakaiensis,62,172,36,7
Polycarbonate,Exiguobacterium sp.,68,334,35,7
Polyethylene Terephthalate (PET),Bacillus alcalophilus,85,284,34,5
Polyethylene Terephthalate (PET),Exiguobacterium sp.,79,54,34,8
Polycarbonate,Ideonella sakaiensis,40,67,14,5
Polyvinyl Chloride,Exiguobacterium sp.,73,102,15,6
Polyethylene,Pseudomonas aeruginosa,23,120,14,9
Polycarbonate,Alcanivorax borkumensis,81,191,28,7
Polypropylene,Pseudomonas aeruginosa,48,304,36,9
Polypropylene,Ochrobactrum sp.,17,47,17,7
Polystyrene,Fusarium solani,6,222,18,6
Polyethylene Terephthalate (PET),Exiguobacterium sp.,3,21,24,7
Polyvinyl Chloride,Ochrobactrum sp.,89,158,13,5
Polyvinyl Chloride,Streptomyces coelicolor,68,348,34,9
Polyurethane,Citrobacter koseri,59,159,18,9
Polyurethane,Streptomyces coelicolor,54,235,16,6
Polycarbonate,Bacillus subtilis,15,150,17,9
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,98,257,24,6
Polycarbonate,Aspergillus niger,89,165,28,8
Polyethylene,Bacillus subtilis,81,77,24,5
Polycarbonate,Thermobifida fusca,28,85,14,7
Polyurethane,Ideonella sakaiensis,22,46,28,7
Polyethylene Terephthalate (PET),Thermobifida fusca,13,47,16,7
Polycarbonate,Sulfolobus acidocaldarius,78,213,15,8
Nylon,Ochrobactrum sp.,48,59,36,5
Polyethylene Terephthalate (PET),Halomonas titanicae,32,54,28,9
Polyvinyl Chloride,Fusarium solani,24,342,34,9
Polyvinyl Chloride,Thermobifida fusca,20,12,37,5
Polycarbonate,Fusarium solani,16,192,26,5
Polyethylene Terephthalate (PET),Thermobifida fusca,22,6,19,7
Polyurethane,Ochrobactrum sp.,56,309,28,9
Polyurethane,Sulfolobus acidocaldarius,80,144,40,5
Polypropylene,Citrobacter koseri,57,346,40,9
Polyvinyl Chloride,Halomonas titanicae,13,261,40,5
Polystyrene,Alcanivorax borkumensis,92,73,20,6
Polypropylene,Thermobifida fusca,19,174,24,7
Polyurethane,Exiguobacterium sp.,29,232,19,5
Polyethylene Terephthalate (PET),Halomonas titanicae,18,270,20,8
Polyethylene,Ideonella sakaiensis,52,362,32,5
Polyurethane,Ideonella sakaiensis,55,222,12,6
Polyethylene Terephthalate (PET),Thermobifida fusca,76,52,39,8
Polypropylene,Citrobacter koseri,81,116,12,8
Polyvinyl Chloride,Bacillus alcalophilus,22,26,27,5
Polyurethane,Aspergillus niger,61,53,34,6
Polycarbonate,Halomonas titanicae,32,365,20,8
Polyethylene Terephthalate (PET),Halomonas titanicae,17,29,29,7
Polyvinyl Chloride,Ideonella sakaiensis,72,19,35,7
Polyethylene,Aspergillus niger,32,303,38,9
Polyethylene,Exiguobacterium sp.,31,279,31,9
Polystyrene,Halomonas titanicae,60,117,27,6
Polyethylene Terephthalate (PET),Aspergillus niger,53,106,34,8
Polypropylene,Aspergillus niger,16,309,24,7
Polystyrene,Thermobifida fusca,18,227,16,7
Polystyrene,Ideonella sakaiensis,90,352,19,6
Nylon,Aspergillus niger,69,186,30,8
Polyurethane,Pseudomonas aeruginosa,98,261,32,6
Polyethylene Terephthalate (PET),Citrobacter koseri,100,16,39,5
Polystyrene,Pseudomonas aeruginosa,33,273,29,7
Nylon,Bacillus alcalophilus,83,160,38,6
Polypropylene,Bacillus subtilis,24,358,19,6
Polyvinyl Chloride,Ideonella sakaiensis,67,250,22,5
Polycarbonate,Alcanivorax borkumensis,73,224,24,9
Polycarbonate,Ochrobactrum sp.,73,256,32,7
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,87,180,27,6
Polystyrene,Pseudomonas aeruginosa,84,20,32,7
Polycarbonate,Bacillus subtilis,10,112,40,9
Polyurethane,Citrobacter koseri,90,120,13,6
Polycarbonate,Thermobifida fusca,15,194,29,5
Polycarbonate,Bacillus subtilis,89,111,26,7
Polycarbonate,Ideonella sakaiensis,60,210,37,5
Polyethylene,Alcanivorax borkumensis,93,1,12,9
Nylon,Sulfolobus acidocaldarius,79,58,30,9
Polystyrene,Aspergillus niger,6,93,30,7
Polyurethane,Acidithiobacillus ferrooxidans,15,221,11,9
Polystyrene,Fusarium solani,98,211,13,8
Polyethylene,Ideonella sakaiensis,15,232,10,7
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,39,262,24,8
Polyethylene Terephthalate (PET),Bacillus alcalophilus,11,364,34,9
Polyethylene Terephthalate (PET),Exiguobacterium sp.,34,103,10,7
Polypropylene,Bacillus alcalophilus,20,50,15,8
Polycarbonate,Thermobifida fusca,49,110,16,9
Polypropylene,Aspergillus niger,42,88,28,6
Nylon,Ochrobactrum sp.,99,20,21,6
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,16,14,40,5
Polyethylene,Ideonella sakaiensis,31,133,10,6
Polyurethane,Bacillus alcalophilus,40,296,16,8
Polystyrene,Ideonella sakaiensis,5,34,28,6
Polycarbonate,Ochrobactrum sp.,87,208,22,7
Polyvinyl Chloride,Ochrobactrum sp.,26,301,35,7
Polyurethane,Bacillus alcalophilus,19,199,21,7
Polycarbonate,Ideonella sakaiensis,24,80,21,6
Polypropylene,Bacillus subtilis,65,71,31,6
Polypropylene,Sulfolobus acidocaldarius,8,155,22,5
Polyurethane,Ochrobactrum sp.,91,78,37,9
Polypropylene,Sulfolobus acidocaldarius,52,78,23,5
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,60,172,31,8
Nylon,Aspergillus niger,37,289,39,7
Polystyrene,Pseudomonas aeruginosa,2,33,21,6
Nylon,Streptomyces coelicolor,83,300,29,9
Polycarbonate,Halomonas titanicae,69,276,21,9
Polystyrene,Thermobifida fusca,96,7,36,6
Polyethylene,Fusarium solani,54,160,15,5
Polystyrene,Halomonas titanicae,0,240,36,9
Nylon,Citrobacter koseri,100,24,19,5
Polyurethane,Acidithiobacillus ferrooxidans,69,214,29,6
Polystyrene,Thermobifida fusca,44,70,40,5
Polyethylene,Sulfolobus acidocaldarius,97,216,38,7
Polyethylene,Alcanivorax borkumensis,46,104,33,6
Polyethylene,Halomonas titanicae,78,215,18,6
Nylon,Ochrobactrum sp.,25,54,11,9
Polystyrene,Aspergillus niger,13,294,16,9
Polyvinyl Chloride,Fusarium solani,53,330,18,9
Polyurethane,Halomonas titanicae,70,336,34,7
Polyethylene Terephthalate (PET),Fusarium solani,45,203,21,7
Polystyrene,Exiguobacterium sp.,30,288,14,8
Polyethylene,Thermobifida fusca,87,45,10,6
Polyvinyl Chloride,Aspergillus niger,58,317,31,9
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,94,198,24,6
Polyethylene Terephthalate (PET),Streptomyces coelicolor,28,216,17,5
Polycarbonate,Bacillus subtilis,95,309,10,7
Polystyrene,Bacillus alcalophilus,16,332,27,8
Nylon,Fusarium solani,13,184,22,5
Polystyrene,Thermobifida fusca,35,27,38,6
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,57,166,10,7
Polyethylene Terephthalate (PET),Aspergillus niger,23,318,14,9
Polystyrene,Ideonella sakaiensis,62,274,27,5
Nylon,Ochrobactrum sp.,90,365,25,7
Polycarbonate,Fusarium solani,24,103,40,6
Polystyrene,Fusarium solani,58,333,35,6
Polyurethane,Pseudomonas aeruginosa,31,104,19,5
Polycarbonate,Pseudomonas aeruginosa,81,245,39,5
Nylon,Bacillus subtilis,17,305,13,5
Polyvinyl Chloride,Ochrobactrum sp.,36,169,10,8
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,25,116,32,9
Polystyrene,Aspergillus niger,8,141,17,7
Nylon,Bacillus subtilis,98,356,14,6
Polycarbonate,Pseudomonas aeruginosa,63,125,11,6
Polyurethane,Citrobacter koseri,71,25,33,9
Nylon,Ochrobactrum sp.,19,194,26,5
Polypropylene,Streptomyces coelicolor,53,100,40,5
Polyethylene,Bacillus subtilis,85,5,16,6
Polyurethane,Alcanivorax borkumensis,82,19,26,9
Polycarbonate,Bacillus subtilis,29,170,37,6
Polyvinyl Chloride,Thermobifida fusca,52,274,15,5
Polyethylene Terephthalate (PET),Aspergillus niger,91,254,38,7
Polycarbonate,Aspergillus niger,98,121,31,5
Polyethylene,Citrobacter koseri,62,32,24,7
Polyvinyl Chloride,Ideonella sakaiensis,10,149,14,8
Polystyrene,Sulfolobus acidocaldarius,30,266,24,9
Nylon,Sulfolobus acidocaldarius,48,37,27,8
Polypropylene,Pseudomonas aeruginosa,99,177,27,5
Polyurethane,Alcanivorax borkumensis,93,342,34,9
Polyurethane,Pseudomonas aeruginosa,86,13,30,5
Nylon,Exiguobacterium sp.,18,183,30,9
Polypropylene,Exiguobacterium sp.,11,145,32,9
Nylon,Bacillus alcalophilus,14,265,15,5
Polystyrene,Exiguobacterium sp.,30,88,11,5
Polyethylene,Sulfolobus acidocaldarius,42,46,36,9
Polyvinyl Chloride,Ideonella sakaiensis,100,119,26,9
Polycarbonate,Streptomyces coelicolor,36,19,30,5
Polyurethane,Exiguobacterium sp.,78,220,13,5
Polystyrene,Pseudomonas aeruginosa,28,233,21,6
Polyvinyl Chloride,Fusarium solani,25,94,28,6
Polystyrene,Aspergillus niger,1,251,11,6
Polypropylene,Streptomyces coelicolor,83,250,35,8
Polyurethane,Streptomyces coelicolor,14,282,11,9
Polycarbonate,Bacillus subtilis,3,232,23,7
Nylon,Pseudomonas aeruginosa,85,46,24,8
Nylon,Aspergillus niger,49,46,29,9
Polyvinyl Chloride,Sulfolobus acidocaldarius,37,14,11,7
Polycarbonate,Streptomyces coelicolor,22,85,13,6
Polyethylene,Bacillus alcalophilus,58,319,28,7
Polyethylene Terephthalate (PET),Thermobifida fusca,89,328,18,5
Polypropylene,Pseudomonas aeruginosa,74,3,16,5
Polyvinyl Chloride,Streptomyces coelicolor,27,28,39,9
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,65,157,22,8
Polystyrene,Acidithiobacillus ferrooxidans,7,343,36,6
Polypropylene,Bacillus subtilis,28,333,40,9
Polystyrene,Aspergillus niger,10,332,21,6
Polyethylene,Exiguobacterium sp.,100,175,12,5
Polycarbonate,Streptomyces coelicolor,17,114,22,8
Polyurethane,Pseudomonas aeruginosa,54,331,24,8
Polypropylene,Exiguobacterium sp.,49,250,23,5
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,13,59,33,7
Polyethylene,Bacillus alcalophilus,73,203,18,8
Polyurethane,Exiguobacterium sp.,98,315,22,7
Nylon,Alcanivorax borkumensis,8,239,32,6
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,98,234,31,8
Polyvinyl Chloride,Streptomyces coelicolor,10,303,13,5
Nylon,Halomonas titanicae,62,95,30,7
Polyethylene,Halomonas titanicae,75,141,17,6
Nylon,Exiguobacterium sp.,66,334,12,6
Polyvinyl Chloride,Citrobacter koseri,52,113,11,8
Polypropylene,Aspergillus niger,38,109,28,8
Nylon,Bacillus subtilis,77,362,37,9
Polycarbonate,Halomonas titanicae,55,345,32,9
Polyethylene Terephthalate (PET),Citrobacter koseri,27,289,17,8
Polyurethane,Ideonella sakaiensis,74,97,26,9
Nylon,Halomonas titanicae,38,335,22,5
Polyethylene Terephthalate (PET),Citrobacter koseri,24,16,16,5
Polystyrene,Aspergillus niger,20,44,18,9
Polyethylene Terephthalate (PET),Fusarium solani,9,230,21,8
Polyurethane,Halomonas titanicae,42,108,38,5
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,14,217,23,6
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,82,260,23,8
Polyethylene,Ochrobactrum sp.,47,312,24,7
Polyurethane,Streptomyces coelicolor,85,320,12,7
Polyethylene,Citrobacter koseri,20,196,24,8
Polypropylene,Acidithiobacillus ferrooxidans,59,95,28,9
Polyethylene,Streptomyces coelicolor,95,56,33,5
Polystyrene,Ochrobactrum sp.,49,32,29,5
Polyvinyl Chloride,Pseudomonas aeruginosa,22,231,23,8
Polypropylene,Pseudomonas aeruginosa,12,9,17,6
Polyethylene Terephthalate (PET),Bacillus subtilis,68,191,14,9
Polyurethane,Acidithiobacillus ferrooxidans,3,361,39,6
Polystyrene,Aspergillus niger,91,200,28,8
Polyvinyl Chloride,Citrobacter koseri,77,334,40,8
Polypropylene,Bacillus alcalophilus,71,161,13,6
Polypropylene,Pseudomonas aeruginosa,8,87,23,7
Polystyrene,Aspergillus niger,34,21,25,8
Polycarbonate,Thermobifida fusca,100,311,29,9
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,20,76,33,6
Polystyrene,Pseudomonas aeruginosa,57,141,15,7
Polypropylene,Pseudomonas aeruginosa,17,126,32,6
Nylon,Bacillus alcalophilus,96,251,34,7
Polyvinyl Chloride,Halomonas titanicae,71,84,40,7
Polystyrene,Exiguobacterium sp.,80,48,15,9
Polycarbonate,Acidithiobacillus ferrooxidans,42,78,12,8
Polypropylene,Bacillus subtilis,94,30,24,7
Polyethylene Terephthalate (PET),Fusarium solani,97,285,38,8
Polyethylene,Thermobifida fusca,5,136,12,9
Polypropylene,Pseudomonas aeruginosa,85,140,20,8
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,77,41,12,5
Polystyrene,Thermobifida fusca,66,282,37,7
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,11,50,19,9
Polyurethane,Alcanivorax borkumensis,99,258,27,6
Polyurethane,Ochrobactrum sp.,11,311,10,9
Polyurethane,Ideonella sakaiensis,65,360,25,7
Polycarbonate,Fusarium solani,1,270,25,9
Polycarbonate,Thermobifida fusca,14,134,36,6
Nylon,Bacillus alcalophilus,22,234,19,5
Polycarbonate,Streptomyces coelicolor,28,128,10,7
Polyethylene,Citrobacter koseri,80,104,13,7
Polystyrene,Pseudomonas aeruginosa,95,254,12,9
Polypropylene,Ochrobactrum sp.,6,95,14,8
Polypropylene,Exiguobacterium sp.,93,337,21,8
Nylon,Citrobacter koseri,27,217,34,6
Polycarbonate,Fusarium solani,13,61,21,5
Polyethylene,Citrobacter koseri,43,268,22,5
Polyethylene Terephthalate (PET),Halomonas titanicae,29,241,33,9
Nylon,Pseudomonas aeruginosa,80,13,21,9
Polyethylene,Citrobacter koseri,31,147,34,8
Polyethylene Terephthalate (PET),Streptomyces coelicolor,69,240,25,5
Polyethylene,Streptomyces coelicolor,87,89,22,5
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,5,95,14,5
Polyvinyl Chloride,Sulfolobus acidocaldarius,26,315,33,6
Polyethylene,Streptomyces coelicolor,81,293,13,6
Polypropylene,Citrobacter koseri,87,25,30,9
Polyurethane,Bacillus subtilis,100,272,24,8
Polycarbonate,Aspergillus niger,23,166,21,7
Polyethylene Terephthalate (PET),Thermobifida fusca,33,250,28,8
Polyvinyl Chloride,Streptomyces coelicolor,39,87,30,6
Polyethylene,Acidithiobacillus ferrooxidans,46,142,37,6
Polypropylene,Fusarium solani,78,134,28,9
Polyurethane,Sulfolobus acidocaldarius,74,279,30,7
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,85,126,20,5
Polyethylene,Citrobacter koseri,23,316,39,7
Polyethylene,Thermobifida fusca,64,141,30,7
Polyethylene Terephthalate (PET),Bacillus alcalophilus,17,356,15,7
Nylon,Alcanivorax borkumensis,43,103,18,9
Nylon,Thermobifida fusca,75,226,10,6
Polypropylene,Bacillus alcalophilus,56,63,21,5
Polyurethane,Halomonas titanicae,27,294,35,7
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,70,306,23,5
Polypropylene,Alcanivorax borkumensis,22,254,15,7
Polypropylene,Halomonas titanicae,84,180,10,6
Polystyrene,Alcanivorax borkumensis,33,40,31,5
Polyethylene,Alcanivorax borkumensis,10,264,11,8
Polycarbonate,Aspergillus niger,85,189,33,6
Polyethylene,Exiguobacterium sp.,34,8,20,5
Nylon,Fusarium solani,92,104,12,7
Polyurethane,Bacillus alcalophilus,41,225,19,7
Polyethylene,Ochrobactrum sp.,27,34,39,6
Polyethylene Terephthalate (PET),Streptomyces coelicolor,81,236,15,6
Polypropylene,Citrobacter koseri,77,228,15,7
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,81,188,40,5
Polystyrene,Fusarium solani,91,313,29,8
Polyurethane,Halomonas titanicae,23,22,30,9
Polypropylene,Aspergillus niger,7,343,11,6
Polyethylene Terephthalate (PET),Halomonas titanicae,52,40,35,7
Nylon,Exiguobacterium sp.,71,173,40,5
Polycarbonate,Sulfolobus acidocaldarius,3,179,35,6
Polystyrene,Ochrobactrum sp.,90,86,33,5
Polyurethane,Ideonella sakaiensis,99,133,19,6
Polystyrene,Aspergillus niger,4,351,32,7
Nylon,Halomonas titanicae,96,13,35,5
Polyurethane,Exiguobacterium sp.,48,28,15,7
Polystyrene,Ideonella sakaiensis,97,84,32,5
Polyvinyl Chloride,Thermobifida fusca,29,318,37,6
Nylon,Citrobacter koseri,71,349,26,9
Nylon,Citrobacter koseri,62,343,39,9
Nylon,Ochrobactrum sp.,46,280,23,8
Polyvinyl Chloride,Halomonas titanicae,25,354,14,8
Polyvinyl Chloride,Thermobifida fusca,56,263,32,7
Polyethylene Terephthalate (PET),Ochrobactrum sp.,36,166,26,5
Polypropylene,Fusarium solani,97,293,11,8
Polycarbonate,Sulfolobus acidocaldarius,6,68,18,6
Polystyrene,Pseudomonas aeruginosa,39,226,21,9
Polyethylene Terephthalate (PET),Fusarium solani,91,170,28,5
Polystyrene,Citrobacter koseri,38,86,31,9
Polycarbonate,Sulfolobus acidocaldarius,61,133,40,5
Polypropylene,Exiguobacterium sp.,91,178,16,8
Polyvinyl Chloride,Aspergillus niger,77,343,18,8
Polypropylene,Bacillus subtilis,52,252,30,7
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,3,15,25,5
Polycarbonate,Thermobifida fusca,81,223,29,6
Polypropylene,Alcanivorax borkumensis,24,201,20,8
Polyethylene Terephthalate (PET),Halomonas titanicae,6,107,21,7
Polyurethane,Bacillus subtilis,27,250,24,8
Polyethylene Terephthalate (PET),Bacillus alcalophilus,68,89,27,9
Polystyrene,Sulfolobus acidocaldarius,66,125,28,8
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,94,113,25,5
Polycarbonate,Streptomyces coelicolor,19,137,24,7
Nylon,Exiguobacterium sp.,82,247,14,5
Polystyrene,Pseudomonas aeruginosa,10,166,20,6
Polypropylene,Alcanivorax borkumensis,66,150,24,6
Polystyrene,Streptomyces coelicolor,86,363,38,8
Polyurethane,Pseudomonas aeruginosa,6,343,27,7
Polyvinyl Chloride,Bacillus alcalophilus,22,68,22,7
Polypropylene,Citrobacter koseri,60,221,13,7
Polyethylene,Fusarium solani,70,271,26,7
Polystyrene,Halomonas titanicae,33,321,13,8
Polypropylene,Aspergillus niger,18,310,25,5
Polypropylene,Pseudomonas aeruginosa,57,349,32,8
Polypropylene,Alcanivorax borkumensis,8,20,24,5
Polyvinyl Chloride,Bacillus subtilis,47,289,23,9
Polyethylene,Ideonella sakaiensis,81,100,21,9
Polycarbonate,Sulfolobus acidocaldarius,40,252,12,5
Polyethylene Terephthalate (PET),Citrobacter koseri,47,77,19,8
Polypropylene,Ideonella sakaiensis,44,135,17,6
Nylon,Sulfolobus acidocaldarius,24,173,15,8
Polycarbonate,Alcanivorax borkumensis,77,363,31,6
Polyurethane,Sulfolobus acidocaldarius,24,201,23,8
Polyvinyl Chloride,Pseudomonas aeruginosa,18,217,40,7
Polystyrene,Bacillus subtilis,38,208,26,7
Polyvinyl Chloride,Ideonella sakaiensis,78,74,30,9
Polystyrene,Exiguobacterium sp.,79,11,28,9
Polyvinyl Chloride,Ideonella sakaiensis,26,287,25,5
Polystyrene,Sulfolobus acidocaldarius,73,256,24,6
Polypropylene,Fusarium solani,62,12,35,7
Polyethylene Terephthalate (PET),Bacillus subtilis,67,78,24,8
Polystyrene,Bacillus alcalophilus,18,172,10,5
Polyethylene,Aspergillus niger,27,96,33,8
Polystyrene,Pseudomonas aeruginosa,84,306,32,7
Nylon,Acidithiobacillus ferrooxidans,77,273,32,7
Polystyrene,Streptomyces coelicolor,32,179,21,7
Nylon,Ochrobactrum sp.,9,64,19,7
Polyurethane,Bacillus subtilis,82,132,23,8
Polypropylene,Acidithiobacillus ferrooxidans,29,343,19,5
Nylon,Acidithiobacillus ferrooxidans,21,272,19,7
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,2,319,29,9
Polycarbonate,Alcanivorax borkumensis,100,332,38,5
Polypropylene,Citrobacter koseri,81,341,40,9
Nylon,Ideonella sakaiensis,74,109,20,8
Polypropylene,Bacillus subtilis,47,273,31,7
Polyethylene,Pseudomonas aeruginosa,1,168,25,5
Polypropylene,Thermobifida fusca,75,180,38,7
Polypropylene,Ideonella sakaiensis,53,58,18,7
Polyurethane,Ideonella sakaiensis,5,79,24,5
Polyethylene Terephthalate (PET),Exiguobacterium sp.,39,61,23,7
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,92,121,28,7
Polyvinyl Chloride,Citrobacter koseri,93,207,40,6
Nylon,Ochrobactrum sp.,1,34,18,6
Polypropylene,Fusarium solani,72,70,13,5
Nylon,Alcanivorax borkumensis,1,17,30,5
Polyurethane,Thermobifida fusca,92,20,16,7
Polyurethane,Citrobacter koseri,96,315,31,9
Polystyrene,Sulfolobus acidocaldarius,73,69,35,5
Polyethylene,Pseudomonas aeruginosa,97,215,17,7
Polyurethane,Thermobifida fusca,54,161,33,9
Polystyrene,Bacillus alcalophilus,71,102,17,6
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,100,206,28,5
Nylon,Thermobifida fusca,59,145,24,7
Polycarbonate,Halomonas titanicae,96,57,25,6
Polyethylene Terephthalate (PET),Fusarium solani,5,83,39,8
Polyurethane,Acidithiobacillus ferrooxidans,18,269,35,6
Polyethylene Terephthalate (PET),Aspergillus niger,95,187,31,7
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,26,6,32,9
Polyethylene,Exiguobacterium sp.,0,353,18,8
Polyethylene,Pseudomonas aeruginosa,32,350,35,8
Polyethylene,Sulfolobus acidocaldarius,39,110,35,8
Polyethylene Terephthalate (PET),Thermobifida fusca,31,138,39,5
Polyurethane,Aspergillus niger,68,51,21,7
Polycarbonate,Aspergillus niger,16,51,40,8
Polypropylene,Fusarium solani,7,87,25,6
Polyethylene Terephthalate (PET),Thermobifida fusca,56,68,13,9
Polystyrene,Citrobacter koseri,41,84,14,7
Polyurethane,Exiguobacterium sp.,97,42,17,6
Polyethylene Terephthalate (PET),Citrobacter koseri,8,219,10,5
Polycarbonate,Sulfolobus acidocaldarius,86,57,37,8
Polypropylene,Thermobifida fusca,34,226,15,6
Polyethylene,Aspergillus niger,70,196,24,7
Polyurethane,Exiguobacterium sp.,78,248,13,6
Polyvinyl Chloride,Exiguobacterium sp.,52,166,30,5
Polypropylene,Streptomyces coelicolor,53,62,20,9
Polystyrene,Ideonella sakaiensis,83,263,14,8
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,24,112,27,7
Polycarbonate,Ochrobactrum sp.,66,253,33,8
Polyvinyl Chloride,Thermobifida fusca,61,199,24,8
Polycarbonate,Aspergillus niger,54,178,27,8
Polyvinyl Chloride,Aspergillus niger,45,26,29,6
Polyurethane,Exiguobacterium sp.,23,246,37,6
Polyvinyl Chloride,Citrobacter koseri,97,19,22,9
Polystyrene,Ideonella sakaiensis,45,265,14,5
Polystyrene,Aspergillus niger,21,317,39,7
Nylon,Exiguobacterium sp.,10,20,10,6
Polystyrene,Aspergillus niger,47,106,31,8
Polypropylene,Ochrobactrum sp.,7,237,27,5
Polyvinyl Chloride,Ideonella sakaiensis,38,306,23,7
Polystyrene,Exiguobacterium sp.,34,246,14,7
Polyurethane,Streptomyces coelicolor,48,81,40,7
Polycarbonate,Ochrobactrum sp.,45,150,15,7
Polyethylene,Ochrobactrum sp.,37,10,36,9
Polycarbonate,Thermobifida fusca,7,321,33,7
Nylon,Pseudomonas aeruginosa,53,224,34,5
Polycarbonate,Ideonella sakaiensis,36,264,38,6
Polyvinyl Chloride,Thermobifida fusca,90,149,40,5
Nylon,Exiguobacterium sp.,91,278,37,8
Polyvinyl Chloride,Ideonella sakaiensis,39,274,25,9
Polyurethane,Bacillus subtilis,33,194,31,9
Nylon,Ideonella sakaiensis,95,172,30,8
Polyethylene Terephthalate (PET),Aspergillus niger,78,265,21,5
Polypropylene,Thermobifida fusca,16,310,29,5
Polypropylene,Sulfolobus acidocaldarius,32,26,27,8
Polyvinyl Chloride,Pseudomonas aeruginosa,46,350,11,7
Polycarbonate,Streptomyces coelicolor,51,356,32,7
Polyethylene,Acidithiobacillus ferrooxidans,79,26,30,6
Polyethylene,Exiguobacterium sp.,92,34,32,5
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,8,264,22,5
Nylon,Exiguobacterium sp.,32,138,36,8
Polyethylene Terephthalate (PET),Citrobacter koseri,59,304,26,8
Polyethylene Terephthalate (PET),Aspergillus niger,92,183,26,7
Polycarbonate,Alcanivorax borkumensis,76,363,25,5
Polyethylene,Fusarium solani,20,242,30,5
Nylon,Bacillus alcalophilus,57,54,27,9
Polyurethane,Citrobacter koseri,84,168,17,6
Polycarbonate,Thermobifida fusca,68,119,39,6
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,9,143,40,7
Polyethylene Terephthalate (PET),Citrobacter koseri,5,81,12,5
Polyurethane,Halomonas titanicae,12,245,26,9
Polyethylene Terephthalate (PET),Exiguobacterium sp.,64,352,38,5
Polyethylene Terephthalate (PET),Exiguobacterium sp.,19,358,27,8
Polyethylene Terephthalate (PET),Bacillus subtilis,56,62,35,7
Polypropylene,Bacillus alcalophilus,45,46,35,6
Polycarbonate,Bacillus alcalophilus,7,87,32,5
Polystyrene,Halomonas titanicae,9,99,15,7
Polycarbonate,Aspergillus niger,72,295,37,6
Polyurethane,Fusarium solani,66,53,17,5
Polyethylene Terephthalate (PET),Ochrobactrum sp.,10,192,32,9
Polycarbonate,Ochrobactrum sp.,11,80,39,7
Polypropylene,Ideonella sakaiensis,9,16,35,5
Polyethylene,Alcanivorax borkumensis,24,360,22,6
Polyurethane,Acidithiobacillus ferrooxidans,48,326,17,6
Polyvinyl Chloride,Alcanivorax borkumensis,48,194,28,9
Polycarbonate,Thermobifida fusca,88,141,15,7
Polyvinyl Chloride,Streptomyces coelicolor,10,108,38,7
Polyethylene Terephthalate (PET),Thermobifida fusca,61,303,32,5
Polypropylene,Bacillus subtilis,35,265,24,6
Polypropylene,Thermobifida fusca,38,290,19,6
Polycarbonate,Acidithiobacillus ferrooxidans,52,209,36,9
Polyurethane,Streptomyces coelicolor,89,165,26,9
Polyurethane,Aspergillus niger,77,342,10,7
Polypropylene,Streptomyces coelicolor,55,320,16,6
Polyurethane,Streptomyces coelicolor,0,152,38,5
Polypropylene,Halomonas titanicae,55,290,36,8
Polycarbonate,Halomonas titanicae,3,268,22,5
Polystyrene,Streptomyces coelicolor,29,151,12,9
Polypropylene,Citrobacter koseri,11,207,28,5
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,34,255,24,6
Polyurethane,Pseudomonas aeruginosa,76,353,14,7
Polypropylene,Pseudomonas aeruginosa,51,141,40,8
Polypropylene,Ideonella sakaiensis,30,343,20,7
Polycarbonate,Ideonella sakaiensis,86,358,31,8
